Job_Title,Company_Name,Location,Summary,Days_Posted_Ago
Python Data Science Internship in Mumbai,MAXGEN TECHNOLOGIES PRIVATE LIMITED,Navi Mumbai,"Maxgen Technologies Pvt Ltd looking for summer interns for internship programme. We are having Internship requirement in Core Python,Machine Learning,AI technology,Data Scienece Candidate must able to perform on basic task.","Mar 18, 2020"
Machine Learning  Data Science Summer Internship in Mumbai,MAXGEN TECHNOLOGIES PRIVATE LIMITED,Navi Mumbai,"Maxgen Technologies Pvt Ltd hiring Python Summer Interns for Live Project Internship Program . Candidate will work on live project in Core Python,Machine learning,AI technology, Data Science We have experience","Apr 05, 2020"
Data Scientist - AI ML Team,CustomerXPs Software Pvt Ltd,Bangalore,"We are seeking sharp, energetic Data Scientists to help us keep pace with our global expansion. You ll be core member of a specialist team working on our Artificial Intelligence","May 02, 2020"
Data Scientist,BrainToSoul Consulting,Bangalore,"Any Master's degree in the field of Statistics / Mathematics / Computer Science / Engineering Relevant experience as Data Scientist Min 5 years of relevant experience required, There is no","Apr 29, 2020"
Senior Data Scientist,"Cisco Systems, Inc.",Bangalore,"Define and design the overall architecture of data analytic platform; Drive architecture and data engineering capabilities in the data analytical platform; Lead data engineers and data scientists, articulate business requirements","May 01, 2020"
Data Scientist,Global Talent Pool,Bangalore,"Bachelor in Engineering, Data Science, Maths, Stats or Computer Science 2+ years of related work experience in Data science field Fluency in SQL for data access, manipulation, and validation Proficiency","Apr 30, 2020"
Senior Data Scientist,Baker Hughes Incorporated,Bangalore,"Role Summary: We are looking for a highly motivated individual, passionate about technology to join Baker Hughes Digital team. As the Senior Data Scientist, in Baker Hughes Digital, you will","Apr 29, 2020"
Lead Data Scintist (Telecom Domain) data scientists to develop machine,HR Devi and Associates,Bangalore,"We are looking for data scientists to develop machine learning and Artificial Intelligence driven domain-specific solutions and products in the areas related to communication services, manufacturing, oil and gas etc.","Apr 30, 2020"
Data Scientist,Denave India Pvt Ltd.,Bangalore,"The role requires deep knowledge in designing , planning , testing and deploying analytics solutions including the following: Advanced Semantic Design , Information Extraction , Information Retrieval , Probabilistic Decision","Apr 30, 2020"
Business Monetization - Associate Data Scientist,True Caller,Bangalore,"Job Description: We are looking for a data scientist that will help us discover the information hidden in vast amounts of data, and help us make smarter decisions to deliver","Apr 28, 2020"
DATA SCIENTIST,AI Enterprise,Bangalore,"Excellent understanding of machine and deep learning concepts / techniques like k - NN, SVM, Decision Forests, linear regression models, gradient descent, etc. Experience in using data science tools like","Apr 30, 2020"
Senior Principal / Lead Data Scientist,"NUMERIFY, INC.",Bangalore,"About the Team: Advanced Analytics team focuses on identifying, creating and deploying advanced analytics solutions across Numerify customer- base while also managing the strategic roadmap of advance analytics capabilities of","Apr 29, 2020"
Snr Data Scientist-NBFC(Financial services),Angel & Genie,Bangalore,Title Snr Data Scientist-NBFC(Financial services)-Bangalore-3-8yrs-25lakhs Apply Now Categories IT Jobs Salary 25lakhs Total Yrs Of Experience Required 3-8yrs Job Location Bangalore Job Description Our client is an award-winning leading social,"Apr 30, 2020"
Data Science Machine Learning Engineering manager,CareerXperts Consulting,Bangalore,We are looking for Engineering Managers to tackle difficult problems in the areas of data science and distributed systems of cloud- scale. This is a tremendous opportunity to build and,"May 01, 2020"
Data Scientist,HR Devi and Associates,Bangalore,"1.Build program expertise by improving data analytics and establishing the framework for the company's future in data science, machine learning, AI and predictive analytics. 2.Experience in statistical modeling techniques such","Apr 30, 2020"
Senior Data Scientist,"PayPal Holdings, Inc.",Bangalore,"As a Senior Data Scientist at PayPal, you will apply your strategic and analytical skills to major company challenges. You will act as a business consultant to drive recommendations and","Apr 27, 2020"
Data Scientist,IQLECT,Bangalore,Data Scientist Positions - 2 Bengaluru Requirements Should have good knowledge of statistics and machine learning techniques Should able able to soft through data and extract the underlying patterns and,"Apr 26, 2020"
DATA SCIENTIST (Analytics Technology),Melstar Information Technologies Ltd,Bangalore,"Qualification :Masters (preferred) or Bachelors Honors in Statistics, Economics, Computer Science, Engineering, Mathematics preferred Technical expertise: Provide expertise in Statistics, Mathematical modeling and simulation, Numerical Analysis and Differential Equation. Curiosity:","May 03, 2020"
